Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Koroner Arterioskleroz,göğüs ağrısı,nefes darlığı,hamlık,ter,göğüste baskı
Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,yayılması,
AIDS,kas erimesi,boğazdaki lekeler,yüksek ateş,evlilik dışı ilişkiler,
Siğiller,kabarık,ciltte pütürlü ve sert büyümeler,,,
Üretral Valfler,zorlu veya zayıf idrar akışı,idrar yolu enfeksiyonları,idrar sıklığı veya aciliyet,karın şişliği,sağlıksız kilo alımı
Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,yayılması,
Tüberküloz,göğüs ağrısı,yorgunluk,kilo kaybı,iştah kaybı,hafif ateş
Paroymsal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Akantamoebkeratit,ağrı,kızarıklık,göz iltihabı,,
Analjeziklere Bağlı Zehirlenme,mide bulantısı,kusma,karın ağrısı,baş dönmesi,bilinç bulanıklığı
Endokardit,plöretik ağrı,kalınlaşmak,adele ağrısı,düşük ateş,gece terlemesi
Periferik Arter Hastalığı,ağrı,uyuşukluk ve hissizlik,kollarda veya bacaklarda karıncalanma,,
Siroz,karın şişmesi,yorgunluk,sarılık,kolay morarma ve kanama,bilinç bulanıklığı
Kızıl Hastalığı,boğaz ağrısı,ateş,döküntü,şişmiş bezler,
Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,
Miyokardiyal Enfarktüs,göğüs ağrısı,nefes darlığı,st segment yükselmesi,ter,st segment depresyonu
Balanit,penis ucunun iltihaplanması,kızarıklık,şişme,ağrı,
Dekübit Ülser,sistolik üfürüm,zayıf,ateş,,
İdrar Taşları,şiddetli karın veya sırt ağrısı,idrarda kan,sık idrara çıkma,idrara çıkma sırasında ağrı,
Miyokardiyal Enfarktüs,göğüs ağrısı,nefes darlığı,st segment yükselmesi,ter,st segment depresyonu
Hemoroid,kanama,azalan bağırsak sesleri,dışkı miktarında azalma,mide bulantısı ve kusma,açlık
Gastroözofajeal Reflü Hastalığı,ağrı,göğüs ağrısı,yanma hissi,kanda sodyum azlığı,erken doyma hissi
Pulmoner Hipertansiyon,nefes darlığı,korneada demir birikimi çizgisi,bacakların ağırlaşması,solunum sesi azalması,boyun tutulması
Hepatit B,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak
Güneşe Maruz Kalmaya Bağlı Dermatit,döküntü gibi güneş yanığı,kızarıklık,kaşıntı,,
Burun Bozukluğu,burun tıkanıklığı,burun akması,hapşırma,yüz ağrısı veya basıncı,koku kaybı
Depresyon,üzüntü,umutsuzluk,aktivitelere ilgi kaybı,iştahtaki değişiklikler,uyumak
A Vitamini Eksikliği,gece körlüğü,kuru gözler,kuru veya pürüzlü cilt,zayıf yara iyileşmesi,zayıf bağışıklık
Kronik Sinüzit,yüz ağrısı veya basıncı,burun tıkanıklığı,koyu burun akıntısı,geniz akıntısı,öksürük
Hiperglisemi,dokununca acıma,kaşıntı,garip hissetmek,püstül,omuz ve yüz arasında pembe ve mor noktalar
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Derin Toplar Damar Pıhtılaşması,şişme,ağrı,ezik,nefes darlığı,alt uzuvlarda ağrı
İdrar Kaçırma,kısmi felç,nöbet geçirmek,bitkinlik,idrar kaçırma hissi,bilinçsiz durum
Alerji,sürekli hapşırmak,titremek,üşümek,gözlerde sulanma,
Malign Neoplazmalar,vücut yapısının büyümesi,doku bozukluğu,kalınlaşmak,ağrı,omuz ve yüz arasında pembe ve mor noktalar
İdrar Yolu Enfeksiyonu,idrar yaparken yanma,mesane rahatsızlığı,idrarın kötü kokusu,sürekli idrar hissi,ağrılı idrar yapma
Tifo,karın ağrısı,üşümek,yorgunluk,yüksek ateş,kusma
Magnezyum Eksikliği,kas kasılmaları,kas krampları,yorgunluk,zayıflık,iştah kaybı
Ansefalit,baş ağrısı,ateş,bilinç bulanıklığı,nöbetler,nörolojik semptomlar
Periferik Arter Hastalığı,ağrı,uyuşukluk ve hissizlik,kollarda veya bacaklarda karıncalanma,,
Saçkıran,saç dökülmesi veya kellik,düzensiz veya genelleştirilmiş saç dökülmesi,,,
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı
Adet Öncesi Gerginlik Sendromu,ruh halinde ani değişimler,şişkinlik,göğüslerde hassasiyet,sinirlilik,
Yutma Bozukluğu,dokunma hissinde bozukluklar,sendeleyerek yürümek,dizartri,ağrılı yutma,ses kısıklığı
Kanser,yumru,açıklanamayan kilo kaybı,yorgunluk,bağırsaktaki değişiklikler,mesane alışkanlığında değişiklik
Glokom,gözde optik sinire zarar verebilecek artan basınç,görme kaybına neden olma,düşmek,karın şişmesi,dengesiz yürüyüş
Kalp Hastalığı,göğüs ağrısı,nefes darlığı,yorgunluk,baş dönmesi,bayılma
Hepatit A,hafif ateş,gözlerin sararması,kas ağrısı,eklem ağrısı,kusma
Nötropeni,morarma,dalak büyümesi,gece terlemesi,düşük ateş,doku bozukluğu
Hashimoto Tiroiditi,hipotiroidizm,yetersiz olan bir tiroit,,,
Hepatit B,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak
Fıtık,karın ağrısı,ağrı,normalden daha hızlı ve derin nefes alma,dayanılmaz acı,mide bulantısı
Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk
Hipertansif Kalp Hastalığı,yüksek tansiyon,göğüs ağrısı veya rahatsızlığı,nefes darlığı,yorgunluk,
Siroz,karın şişmesi,yorgunluk,sarılık,kolay morarma ve kanama,bilinç bulanıklığı
Analjeziklere Bağlı Zehirlenme,mide bulantısı,kusma,karın ağrısı,baş dönmesi,bilinç bulanıklığı
Osteomiyelit,ağrı,kızarıklık,prostat hassaslığı,ateş,idrarı yapma zorluğu
Ependimom,baş ağrısı,mide bulantısı,nöbetler,dengeyi kaybı,
Paranoya,işitsel halüsinasyonlar,görsel halüsinasyonlar,ajitasyon,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar
İleus,bakterital apse,akut batın,hava sıvı seviyesi,nefes almak,karın hassasiyeti
Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,anüs tahrişi,kanlı dışkı
Tip 2 Diyabet,yorgunluk,artan açlık,yaraların yavaş iyileşmesi,,
Burun Apsesi,ağrı,şişme,kızarıklık,burun akıntısı,
Egzama,kaşıntı,iltihaplı cilt,döküntü,,
Varisli Damarlar,yorgunluk,kramplar,morarma,obezite,şişmiş bacaklar
Güneşe Maruz Kalmaya Bağlı Dermatit,döküntü gibi güneş yanığı,kızarıklık,kaşıntı,,
Siringomiyeli,kas güçsüzlüğü,duyu kaybı,kronik ağrı,,
Madde Bağımlılığı,sakinlik (ilaçla yatıştırma),uyuklama,konuşma bozukluğu,bilinç bulanıklığı,solunum sıkıntısı
A Vitamini Eksikliği,gece körlüğü,kuru gözler,kuru veya pürüzlü cilt,zayıf yara iyileşmesi,zayıf bağışıklık
Belsoğukluğu,ağrılı idrar yapma,cinsel organlardan anormal akıntı,pelvik ağrısı,,
Adenovirüs,ateş,boğaz ağrısı,öksürük,göz nezlesi veya iltihabı,döküntü
Tümör Metastazı,kalınlaşmak,tümör hücresinin yayılması,metastatik doku bozukluğu,boyun ağrısı,akciğer nodülü
Kötü Huylu Akciğer Tümörü,doku bozukluğu,öksürük,akciğer nodülü,nefes darlığı,kanlı balgam veya kan tükürme
Kişilik Bozukluğu,kabus,umutsuz hissetmek,transeksüel,işitsel halüsinasyonlar,sinirli ruh hali
Akantamoebkeratit,ağrı,kızarıklık,göz iltihabı,,
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
Fıtık,karın ağrısı,ağrı,normalden daha hızlı ve derin nefes alma,dayanılmaz acı,mide bulantısı
Gastroözofajeal Reflü Hastalığı,ağrı,göğüs ağrısı,yanma hissi,kanda sodyum azlığı,erken doyma hissi
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Diyabet,sık idrara çıkma,yorgunluk,iştah artışı,kilo kaybı,huzursuzluk
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
Anksiyete,aşırı endişe,huzursuzluk,artan kalp atış hızı,panik ataklar,endişelenmek
Psikotik Bozukluk,intihara meyilli,işitsel halüsinasyonlar,intihara meyilli hissetmek,görsel halüsinasyonlar,motor kaslarda yavaşlama
Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü
Kronik Obstrüktif Akciğer Hastalığı,nefes darlığı,hırıltı,öksürük,solunumda zayıflık,iltihaplı balgam
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı
Kardiyomiyopati,nefes darlığı,dik durma haricinde nefes darlığı,hamlık,juguler venöz dolgunluk,çarpıntı
AIDS,kas erimesi,boğazdaki lekeler,yüksek ateş,evlilik dışı ilişkiler,
Siringomiyeli,kas güçsüzlüğü,duyu kaybı,kronik ağrı,,
Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk
Kronik Böbrek Yetmezliği,kusma,dik durma haricinde nefes darlığı,hiperkalemi,idrar azlığı,juguler venöz dolgunluk
Kronik Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı,öksürük
Egzama,kaşıntı,iltihaplı cilt,döküntü,,
Suçiçeği,yorgunluk,baş ağrısı,keyifsizlik,vücutta kırmızı lekeler,kaşıntı
Testis Kanseri,testislerde şişlik veya yumru,ağrı veya rahatsızlık,testis boyutunda veya şeklinde değişiklikler,,
Kolesistit,karın ağrısı,inilti,mide bulantısı,murphy belirtisi,şişkinlik
Anksiyete,aşırı endişe,huzursuzluk,artan kalp atış hızı,panik ataklar,endişelenmek
Morbid Obezite,nefessiz kalma,hareketsizlik,göğüs ağrısı,öksürük,mutsuz
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,diskromik yaralar
Hipertansif Kalp Hastalığı,yüksek tansiyon,göğüs ağrısı veya rahatsızlığı,nefes darlığı,yorgunluk,
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı
Pulmoner Hipertansiyon,nefes darlığı,korneada demir birikimi çizgisi,bacakların ağırlaşması,solunum sesi azalması,boyun tutulması
Ruhsal Depresyon,intihara meyilli hissetmek,intihara meyilli,işitsel halüsinasyonlar,umutsuz hissetmek,ağlamak
Aort Anevrizması,aort duvarındaki çıkıntı,vücuttaki en büyük arter,,,
Lenf Hastalıkları,ağrı,vücut yapısının büyümesi,gece terlemesi,dalak büyümesi,doku bozukluğu
Hipotiroidizm,yorgunluk,kilo almak,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar
Lupus,eklem ağrısı,yorgunluk,deri döküntüsü,,
Divertiküloz,dışkının idrarda bulunması,kabızlık,bakterital apse,hem pozitif,denge kaybı
Pamukçuk,ishal,boğaz ağrısı,vücut ağırlığının azalması,üşümek,baş ağrısı
Kronik Böbrek Hastalığı,yorgunluk,nefes darlığı,şişme,yüksek tansiyon,idrara çıkma değişikliği
Kuduz,ateş,baş ağrısı,yutma güçlüğü,kas ağrıları,ısırık yerinde karıncalanma
Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi
Paranoya,işitsel halüsinasyonlar,görsel halüsinasyonlar,ajitasyon,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş
Periferik Arter Hastalığı,ağrı,uyuşukluk ve hissizlik,kollarda veya bacaklarda karıncalanma,,
Meme Malign Neoplazmı,göğüste kitle,vücut yapısının büyümesi,dokunma hissinde bozukluklar,geriye itme,deri kızarıklığı
Atopik Dermatit,kaşıntı,kırmızı,iltihaplı cilt,,
GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük
Baş ve Boyun Kanseri,kalıcı boğaz ağrısı,yutma güçlüğü,ses değişiklikleri,kulak ağrısı,boyun kitlesi
Paranoya,işitsel halüsinasyonlar,görsel halüsinasyonlar,ajitasyon,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar
Şizofreni,işitsel halüsinasyonlar,aşırı uyku hali,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar,hastanın karşı gelmesi
Bağımlılık,sarhoşluk,titreme,ajitasyon,intihara meyilli,evsizlik
Fibroid Tümör,kanama,kürtaj,iki adet dönemi arası aşırı kanama,kas azalması,önceki gebelikler
Aşırı Sıvı Yüklenmesi,solunumda hırıltı,juguler venöz dolgunluk,hiperkalemi,dik durma haricinde nefes darlığı,nefes darlığı
Pyelonefrit,ateş,üşümek,ağrı,idrar tutamama,kanlı idrar
Böbrek Taşı,alt sırtta veya yan tarafta ağrı,mide bulantısı,kusma,idrarda kan,
Uçuk,dudaklarda veya ağız çevresinde küçük ve ağrılı kabarcıklar,,,,
Kas Spazmı,ani kasılma,istemsiz kas kasılmaları,kas ağrısı,sertlik,sınırlı hareket açıklığı
Adet Öncesi Gerginlik Sendromu,ruh halinde ani değişimler,şişkinlik,göğüslerde hassasiyet,sinirlilik,
Antidepresanlara Bağlı Zehirlenme,mide bulantısı,kusma,uyuklama,baş dönmesi,bilinç bulanıklığı
Kolesistit,karın ağrısı,inilti,mide bulantısı,murphy belirtisi,şişkinlik
Saçkıran,saç dökülmesi veya kellik,düzensiz veya genelleştirilmiş saç dökülmesi,,,
Hipertiroidizm,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,yorgunluk,ruh halinde ani değişimler
Sıtma,üşümek,kusma,terlemek,baş ağrısı,kas ağrısı
Trombüs,hamlık,anoreksiya,hipertoniklik (kasların aşırı kasılması),nefes darlığı,hipoalbüminemi
Obezite,ağrı,donakalmak,horlama,göğüs ağrısı,r dalgası özelliği
Graves Hastalığı,hipertiroidizm,aşırı aktif olan tiroit,,,
Akut Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Kronik Alkol Zehirlenmesi,titreme,işitsel halüsinasyonlar,intihara meyilli,zula,sinirli ruh hali
Hipertansif Hastalık,göğüs ağrısı,nefes darlığı,baş dönmesi,bitkinlik,düşmek
Demans,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,ateş
Asperger Sendromu,sosyal etkileşimde zorluk,tekrarlayan davranışlar,dikkat dağınıklığı,,
Hiperlipidemi,göğüs ağrısı,çarpıntı,q dalgasının varlığı,gözde ışık çakması,ter
Miyokardiyal Enfarktüs,göğüs ağrısı,nefes darlığı,st segment yükselmesi,ter,st segment depresyonu
Trombositopeni,ezik,kanda monosit artışı,beyin omurilik sıvısı akıntısı,kanama,çok hızlı solunum
Epilepsi,kas seğirmesi,nöbet geçirmek,metabolizmanın yavaş çalışması,duyuları etklieyen belirti,uyuklama
Hiperlipidemi,göğüs ağrısı,çarpıntı,q dalgasının varlığı,gözde ışık çakması,ter
Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,salya
Zona Hastalığı,sinir yolunu takip eden ağrılı döküntü,,,,
Gıda Zehirlenmesi,mide bulantısı,kusma,ishal,karın krampları,
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
Aort Anevrizması,aort duvarındaki çıkıntı,vücuttaki en büyük arter,,,
Hiperbilirubinemi,siyanoz,çok hızlı solunum,para test 1,düşük nabız,makat prezantasyonu
Kan Pıhtısı,ağrı,şişme,kızarıklık,sıcaklık,zarar görmüş bölgede hassasiyet
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar
Kolelityaz,kusma,mide bulantısı,karın ağrısı,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz
Diş Çürüğü,diş ağrısı,diş hassasiyeti,dişlerde görünür çukurlar veya delikler,dişlerdeki koyu lekeler,ağız kokusu
Aspirasyon Pnömonisi,mediastinal kayma,ateş,kasların hızlı kasılıp gevşemesi,ruhsal durum değişiklikleri,yarı saydamlığın azalması
Obezite,ağrı,donakalmak,horlama,göğüs ağrısı,r dalgası özelliği
İdrar Taşları,şiddetli karın veya sırt ağrısı,idrarda kan,sık idrara çıkma,idrara çıkma sırasında ağrı,
Hepatit B,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak
Belsoğukluğu,ağrılı idrar yapma,cinsel organlardan anormal akıntı,pelvik ağrısı,,
Duygu Değişimi,aşırı yorgunluk,uykusuzluk,idrar tutamama,hastanın karşı gelmesi,umutsuz hissetmek
Aort Anevrizması,aort duvarındaki çıkıntı,vücuttaki en büyük arter,,,
AIDS,kas erimesi,boğazdaki lekeler,yüksek ateş,evlilik dışı ilişkiler,
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş
Akut Böbrek Yetmezliği,böbrek fonksiyonunda azalma,hiperkalemi,tansiyon düşüklüğü,hipokalsemi sonucu,idrar azlığı
Asperger Sendromu,sosyal etkileşimde zorluk,tekrarlayan davranışlar,dikkat dağınıklığı,,
Böbrek Taşı,alt sırtta veya yan tarafta ağrı,mide bulantısı,kusma,idrarda kan,
Bitler,kaşıntı,saçta gözle görülür bit varlığı,,,
Hepatit B,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak
Nezle,ateş,öksürük,boğaz ağrısı,burun akıntısı veya tıkalı burun,kas ağrıları
Demans,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,ateş
Bağımlılık,sarhoşluk,titreme,ajitasyon,intihara meyilli,evsizlik
Kalp Krizi,kusma,nefes darlığı,terlemek,göğüs ağrısı,mide bulantısı
Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,salya
Sıtma,üşümek,kusma,terlemek,baş ağrısı,kas ağrısı
Tip 1 Diyabet,sık idrara çıkma,artan susuzluk,kilo kaybı,,
Uçuk,dudaklarda veya ağız çevresinde küçük ve ağrılı kabarcıklar,,,,
Anksiyete,aşırı endişe,huzursuzluk,artan kalp atış hızı,panik ataklar,endişelenmek
Akciğer Ödemi,nefes darlığı,idrar tutamama,solunumda hırıltı,çok hızlı solunum,dik durma haricinde nefes darlığı
Paranoya,işitsel halüsinasyonlar,görsel halüsinasyonlar,ajitasyon,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar
İshal,ishal,sulu dışkı,,,
Nötropeni,morarma,dalak büyümesi,gece terlemesi,düşük ateş,doku bozukluğu
Meme Malign Neoplazmı,göğüste kitle,vücut yapısının büyümesi,dokunma hissinde bozukluklar,geriye itme,deri kızarıklığı
Graves Hastalığı,hipertiroidizm,aşırı aktif olan tiroit,,,
Ependimom,baş ağrısı,mide bulantısı,nöbetler,dengeyi kaybı,
Pamukçuk,ishal,boğaz ağrısı,vücut ağırlığının azalması,üşümek,baş ağrısı
Hashimoto Tiroiditi,hipotiroidizm,yetersiz olan bir tiroit,,,
Solunum Yetmezliği,nefes darlığı,hemipleji,horlama,tepkisizlik,balgamlı öksürük
Morbid Obezite,nefessiz kalma,hareketsizlik,göğüs ağrısı,öksürük,mutsuz
Suçiçeği,yorgunluk,baş ağrısı,keyifsizlik,vücutta kırmızı lekeler,kaşıntı
Hipotiroidizm,yorgunluk,kilo almak,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar
Ensefalopati,düzensizlik,asteriksi,kanama,uyuklama,duruş
Manik Bozukluk,intihara meyilli,intihara meyilli hissetmek,artan enerji,aşırı uyku,beyazlama
Hepatit E,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması
Suçiçeği,yorgunluk,baş ağrısı,keyifsizlik,vücutta kırmızı lekeler,kaşıntı
Hiyatus Hernisi,karın ağrısı,çabuk yorulma,ön belirti,kusma,mide bulantısı
Meme Kanseri,göğüste yumru,meme büyüklüğünde veya şeklinde değişiklikler,meme ucunda değişiklikler,meme ağrısı,
B12 Vitamini Eksikliği,yorgunluk,zayıflık,soluk cilt,nefes darlığı,ellerde ve ayaklarda karıncalanma veya uyuşma
Dekübit Ülser,sistolik üfürüm,zayıf,ateş,,
Kalp Krizi,kusma,nefes darlığı,terlemek,göğüs ağrısı,mide bulantısı
Prostat Malign Neoplazmı,kanlı idrar,dokunma duyusu ve ağrı hissi bozukluğu,bitkinlik,birden fazla kasta ağrı,taş düşürmek
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Balanit,penis ucunun iltihaplanması,kızarıklık,şişme,ağrı,
Lupus,eklem ağrısı,yorgunluk,deri döküntüsü,,
Bilinç Bulanıklığı,nöbet geçirmek,idrar tutamama,rehavet,konuşma bozukluğu,düşmek
Gastrit,hem pozitif,karın ağrısı,kusma,dengesizlik,mide bulantısı
Afazi,kasların hızlı kasılıp gevşemesi,egofoni,kısmi yüz felci,yutma güçlüğü,kas seğirmesi
Siyatik,bel ağrısı,bacak ağrısı,uyuşma veya karıncalanma,,
Dehidrasyon,baygınlık,ateş,ishal,kusma,tansiyon düşüklüğü
Huzursuz Bağırsak Sendromu,karın ağrısı,şişkinlik,kabızlık,ishal,
Böbrek Hastalığı,nefes darlığı,hiperkalemi,göğüs ağrısı,ateş,gravida 0
Dejeneratif Poliartrit,ağrı,gıda sindirememe,el uyuşması,genel rahatsızlık,uyuklama
Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı
Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
Periferik Arter Hastalığı,ağrı,uyuşukluk ve hissizlik,kollarda veya bacaklarda karıncalanma,,
Bronşiyal Spazm,nefes darlığı,yara dokusu,düşük ateş,bilinen ilaç alerjisi yok,ağrı
Diyabetik Ketoasidoz,sık idrara çıkma,kusma,mide bulantısı,karın ağrısı,garip hissetmek
B12 Vitamini Eksikliği,yorgunluk,zayıflık,soluk cilt,nefes darlığı,ellerde ve ayaklarda karıncalanma veya uyuşma
Hiyatus Hernisi,karın ağrısı,çabuk yorulma,ön belirti,kusma,mide bulantısı
Mononükleoz,ateş,boğaz ağrısı,yorgunluk,şişmiş lenf düğümleri,döküntü
Psikotik Bozukluk,intihara meyilli,işitsel halüsinasyonlar,intihara meyilli hissetmek,görsel halüsinasyonlar,motor kaslarda yavaşlama
Tip 2 Diyabet,yorgunluk,artan açlık,yaraların yavaş iyileşmesi,,
Psikotik Bozukluk,intihara meyilli,işitsel halüsinasyonlar,intihara meyilli hissetmek,görsel halüsinasyonlar,motor kaslarda yavaşlama
Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı
Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği
Aflatoksikoz,kusma,ishal,sarılık,karaciğer hasarı,ölüm
Adenovirüs,ateş,boğaz ağrısı,öksürük,göz nezlesi veya iltihabı,döküntü
Tip 2 Diyabet,yorgunluk,artan açlık,yaraların yavaş iyileşmesi,,
Salmonella,ateş,ishal,karın krampları,mide bulantısı,kusma
Trombüs,hamlık,anoreksiya,hipertoniklik (kasların aşırı kasılması),nefes darlığı,hipoalbüminemi
Hipertiroidizm,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,yorgunluk,ruh halinde ani değişimler
Dang Humması,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş
Anksiyete Bozukluğu,aşırı endişe,korku,günlük yaşamı etkileyen kaygı,,
Deliryum,dengesiz yürüyüş,içine kapanmak,kanda sodyum azlığı,sözlü taciz edici davranış,intihara meyilli hissetmek
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar
